Category,Product ID,Product Name
Baked Goods & Mixes,19,Northwind Traders Chocolate Biscuits Mix
Baked Goods & Mixes,21,Northwind Traders Scones
Baked Goods & Mixes,85,Northwind Traders Brownie Mix
Baked Goods & Mixes,86,Northwind Traders Cake Mix
Beverages,1,Northwind Traders Chai
Beverages,34,Northwind Traders Beer
Beverages,43,Northwind Traders Coffee
Beverages,81,Northwind Traders Green Tea
Beverages,87,Northwind Traders Tea
Candy,48,Northwind Traders Chocolate
Canned Fruit & Vegetables,17,Northwind Traders Fruit Cocktail
Canned Fruit & Vegetables,88,Northwind Traders Pears
Canned Fruit & Vegetables,89,Northwind Traders Peaches
Canned Fruit & Vegetables,90,Northwind Traders Pineapple
Canned Fruit & Vegetables,91,Northwind Traders Cherry Pie Filling
Canned Fruit & Vegetables,92,Northwind Traders Green Beans
Canned Fruit & Vegetables,93,Northwind Traders Corn
Canned Fruit & Vegetables,94,Northwind Traders Peas
Canned Meat,40,Northwind Traders Crab Meat
Canned Meat,95,Northwind Traders Tuna Fish
Canned Meat,96,Northwind Traders Smoked Salmon
Cereal,82,Northwind Traders Granola
Cereal,97,Northwind Traders Hot Cereal
"Chips, Snacks",83,Northwind Traders Potato Chips
Condiments,3,Northwind Traders Syrup
Condiments,4,Northwind Traders Cajun Seasoning
Condiments,77,Northwind Traders Mustard
Dairy Products,72,Northwind Traders Mozzarella
Dried Fruit & Nuts,7,Northwind Traders Dried Pears
Dried Fruit & Nuts,14,Northwind Traders Walnuts
Dried Fruit & Nuts,51,Northwind Traders Dried Apples
Dried Fruit & Nuts,74,Northwind Traders Almonds
Dried Fruit & Nuts,80,Northwind Traders Dried Plums
Grains,52,Northwind Traders Long Grain Rice
"Jams, Preserves",6,Northwind Traders Boysenberry Spread
"Jams, Preserves",20,Northwind Traders Marmalade
Oil,5,Northwind Traders Olive Oil
Pasta,56,Northwind Traders Gnocchi
Pasta,57,Northwind Traders Ravioli
Sauces,8,Northwind Traders Curry Sauce
Sauces,65,Northwind Traders Hot Pepper Sauce
Sauces,66,Northwind Traders Tomato Sauce
Soups,41,Northwind Traders Clam Chowder
Soups,98,Northwind Traders Vegetable Soup
Soups,99,Northwind Traders Chicken Soup
